,DATE,GROSS_PROFIT_ACT
0,2020-01-01,109303.40936824348
1,2020-02-01,118826.55589498096
2,2020-03-01,107653.0497431758
3,2020-04-01,131383.669550954
4,2020-05-01,166532.41482489818
5,2020-06-01,107753.2131378107
6,2020-07-01,162880.29202709743
7,2020-08-01,143148.73148899997
8,2020-09-01,168576.04407468555
9,2020-10-01,89683.92449461133
10,2020-11-01,109664.18155047687
11,2020-12-01,123438.28570162057
12,2021-01-01,82553.12340932718
13,2021-02-01,96537.83995626582
14,2021-03-01,103175.38194179558
15,2021-04-01,156848.3427451406
16,2021-05-01,93364.2057252301
17,2021-06-01,116064.33186732153
18,2021-07-01,132255.29031498963
19,2021-08-01,156037.89865368372
20,2021-09-01,146354.6845027951
21,2021-10-01,125984.27618748252
22,2021-11-01,126949.9379852809
23,2021-12-01,32417.895476857982
24,2022-01-01,72431.01564884535
25,2022-02-01,89546.89887010318
26,2022-03-01,112854.20992430631
27,2022-04-01,152893.06849641213
28,2022-05-01,46017.5058485592
29,2022-06-01,60016.6902947998
30,2022-07-01,3033.385092779681
31,2022-08-01,112756.93819966004
32,2022-09-01,109089.21292985015
33,2022-10-01,110474.50445557293
34,2022-11-01,50850.69211218873
35,2022-12-01,165163.1885796123
36,2023-01-01,48477.75765
37,2023-02-01,39760.87478
38,2023-03-01,80033.648
